"";"cheese";"rater";"background";"y"
"1";"A";1;"rural";67
"2";"A";1;"rural";66
"3";"B";1;"rural";51
"4";"B";1;"rural";53
"5";"C";1;"rural";75
"6";"C";1;"rural";70
"7";"D";1;"rural";68
"8";"D";1;"rural";66
"9";"A";2;"rural";76
"10";"A";2;"rural";76
"11";"B";2;"rural";56
"12";"B";2;"rural";65
"13";"C";2;"rural";82
"14";"C";2;"rural";82
"15";"D";2;"rural";81
"16";"D";2;"rural";77
"17";"A";3;"rural";80
"18";"A";3;"rural";84
"19";"B";3;"rural";71
"20";"B";3;"rural";67
"21";"C";3;"rural";82
"22";"C";3;"rural";82
"23";"D";3;"rural";71
"24";"D";3;"rural";70
"25";"A";4;"rural";79
"26";"A";4;"rural";83
"27";"B";4;"rural";63
"28";"B";4;"rural";60
"29";"C";4;"rural";80
"30";"C";4;"rural";83
"31";"D";4;"rural";66
"32";"D";4;"rural";71
"33";"A";5;"rural";74
"34";"A";5;"rural";72
"35";"B";5;"rural";55
"36";"B";5;"rural";58
"37";"C";5;"rural";76
"38";"C";5;"rural";79
"39";"D";5;"rural";75
"40";"D";5;"rural";74
"41";"A";6;"rural";66
"42";"A";6;"rural";71
"43";"B";6;"rural";49
"44";"B";6;"rural";49
"45";"C";6;"rural";72
"46";"C";6;"rural";70
"47";"D";6;"rural";65
"48";"D";6;"rural";65
"49";"A";7;"rural";63
"50";"A";7;"rural";68
"51";"B";7;"rural";38
"52";"B";7;"rural";33
"53";"C";7;"rural";72
"54";"C";7;"rural";71
"55";"D";7;"rural";70
"56";"D";7;"rural";72
"57";"A";8;"rural";67
"58";"A";8;"rural";60
"59";"B";8;"rural";56
"60";"B";8;"rural";48
"61";"C";8;"rural";72
"62";"C";8;"rural";70
"63";"D";8;"rural";67
"64";"D";8;"rural";69
"65";"A";9;"rural";59
"66";"A";9;"rural";65
"67";"B";9;"rural";41
"68";"B";9;"rural";48
"69";"C";9;"rural";61
"70";"C";9;"rural";70
"71";"D";9;"rural";57
"72";"D";9;"rural";59
"73";"A";10;"rural";72
"74";"A";10;"rural";64
"75";"B";10;"rural";55
"76";"B";10;"rural";57
"77";"C";10;"rural";78
"78";"C";10;"rural";78
"79";"D";10;"rural";72
"80";"D";10;"rural";67
"81";"A";1;"urban";67
"82";"A";1;"urban";64
"83";"B";1;"urban";44
"84";"B";1;"urban";54
"85";"C";1;"urban";75
"86";"C";1;"urban";83
"87";"D";1;"urban";64
"88";"D";1;"urban";60
"89";"A";2;"urban";83
"90";"A";2;"urban";85
"91";"B";2;"urban";60
"92";"B";2;"urban";63
"93";"C";2;"urban";91
"94";"C";2;"urban";90
"95";"D";2;"urban";67
"96";"D";2;"urban";69
"97";"A";3;"urban";74
"98";"A";3;"urban";75
"99";"B";3;"urban";58
"100";"B";3;"urban";54
"101";"C";3;"urban";77
"102";"C";3;"urban";80
"103";"D";3;"urban";64
"104";"D";3;"urban";66
"105";"A";4;"urban";81
"106";"A";4;"urban";84
"107";"B";4;"urban";58
"108";"B";4;"urban";62
"109";"C";4;"urban";86
"110";"C";4;"urban";90
"111";"D";4;"urban";71
"112";"D";4;"urban";67
"113";"A";5;"urban";83
"114";"A";5;"urban";79
"115";"B";5;"urban";54
"116";"B";5;"urban";57
"117";"C";5;"urban";91
"118";"C";5;"urban";82
"119";"D";5;"urban";78
"120";"D";5;"urban";84
"121";"A";6;"urban";84
"122";"A";6;"urban";82
"123";"B";6;"urban";65
"124";"B";6;"urban";61
"125";"C";6;"urban";80
"126";"C";6;"urban";87
"127";"D";6;"urban";78
"128";"D";6;"urban";84
"129";"A";7;"urban";89
"130";"A";7;"urban";84
"131";"B";7;"urban";70
"132";"B";7;"urban";76
"133";"C";7;"urban";79
"134";"C";7;"urban";89
"135";"D";7;"urban";89
"136";"D";7;"urban";91
"137";"A";8;"urban";80
"138";"A";8;"urban";80
"139";"B";8;"urban";62
"140";"B";8;"urban";56
"141";"C";8;"urban";85
"142";"C";8;"urban";86
"143";"D";8;"urban";77
"144";"D";8;"urban";79
"145";"A";9;"urban";74
"146";"A";9;"urban";73
"147";"B";9;"urban";56
"148";"B";9;"urban";61
"149";"C";9;"urban";78
"150";"C";9;"urban";79
"151";"D";9;"urban";77
"152";"D";9;"urban";82
"153";"A";10;"urban";77
"154";"A";10;"urban";82
"155";"B";10;"urban";64
"156";"B";10;"urban";57
"157";"C";10;"urban";86
"158";"C";10;"urban";86
"159";"D";10;"urban";81
"160";"D";10;"urban";83
