"";"Richness";"Exposure";"NAP";"Beach";"Site"
"1";11;10;0,045;1;1
"2";10;10;-1,036;1;2
"3";13;10;-1,336;1;3
"4";11;10;0,616;1;4
"5";10;10;-0,684;1;5
"6";8;8;1,19;2;1
"7";9;8;0,82;2;2
"8";8;8;0,635;2;3
"9";19;8;0,061;2;4
"10";17;8;-1,334;2;5
"11";6;11;-0,976;3;1
"12";1;11;1,494;3;2
"13";4;11;-0,201;3;3
"14";3;11;-0,482;3;4
"15";3;11;0,167;3;5
"16";1;11;1,768;4;1
"17";3;11;-0,03;4;2
"18";3;11;0,46;4;3
"19";1;11;1,367;4;4
"20";4;11;-0,811;4;5
"21";3;10;1,117;5;1
"22";22;10;-0,503;5;2
"23";6;10;0,729;5;3
"24";0;10;1,627;5;4
"25";6;10;0,054;5;5
"26";5;11;-0,578;6;1
"27";4;11;-0,348;6;2
"28";1;11;2,222;6;3
"29";6;11;-0,893;6;4
"30";4;11;0,766;6;5
"31";2;11;0,883;7;1
"32";1;11;1,786;7;2
"33";1;11;1,375;7;3
"34";3;11;-0,06;7;4
"35";4;11;0,367;7;5
"36";3;10;1,671;8;1
"37";5;10;-0,375;8;2
"38";7;10;-1,005;8;3
"39";5;10;0,17;8;4
"40";0;10;2,052;8;5
"41";7;10;-0,356;9;1
"42";11;10;0,094;9;2
"43";3;10;-0,002;9;3
"44";0;10;2,255;9;4
"45";2;10;0,865;9;5
